state,country
California,USA
Texas,USA
Florida,USA
New York,USA
Pennsylvania,USA
Illinois,USA
Ohio,USA
Georgia,USA
North Carolina,USA
Michigan,USA
New Jersey,USA
Virginia,USA
Washington,USA
Arizona,USA
Massachusetts,USA
Tennessee,USA
Indiana,USA
Missouri,USA
Maryland,USA
Wisconsin,USA
Colorado,USA
Minnesota,USA
South Carolina,USA
Alabama,USA
Louisiana,USA
Kentucky,USA
Oregon,USA
Oklahoma,USA
Connecticut,USA
Utah,USA
Puerto Rico,USA
Iowa,USA
Nevada,USA
Arkansas,USA
Mississippi,USA
Kansas,USA
New Mexico,USA
Nebraska,USA
West Virginia,USA
Idaho,USA
Hawaii,USA
New Hampshire,USA
Maine,USA
Montana,USA
Rhode Island,USA
Delaware,USA
South Dakota,USA
North Dakota,USA
Alaska,USA
District of Columbia,USA
Vermont,USA
Wyoming,USA
Guam,USA
U.S. Virgin Islands,USA
American Samoa,USA
Northern Mariana Islands,USA
